Word,POS,Random #,n-all,mean-a,std.dev-a,n-m,mean-m,std.dev-m,n-f,mean--f,std.dev-f,valence,arousal,dom
short,,243,34,3.941176,1.412953,17,3.941176,1.675955,17,3.941176,1.144038,,,
showboat,,74,35,4.8,1.278786,16,5,1.095445,19,4.631579,1.42246,,,
shrewd,,351,28,4.321429,1.306779,15,4.4,1.242118,13,4.230769,1.42325,,,
shriek,,123,26,3.307692,1.667794,19,3.263158,1.790162,7,3.428571,1.397276,,,
shrill,adj,516,24,3.541667,1.473805,10,3.8,1.398412,14,3.357143,1.549548,3.93,5.36,4.3
shy,adj,626,21,3.095238,1.338087,11,3.181818,1.721522,10,3,0.8164966,4.64,3.77,3.44
signal,,466,30,4.466667,0.8995529,14,4.785714,1.050902,16,4.1875,0.6551081,,,
significant,,324,17,4.235294,0.8313702,5,4.2,0.83666,12,4.25,0.8660254,,,
silly,adj,613,27,3.592593,1.248361,13,3.923077,1.38212,14,3.285714,1.069045,7.41,5.88,6
sincere,,321,25,2.96,1.019804,12,3.083333,0.9962049,13,2.846154,1.068188,,,
sinful,adj,31,21,4.571429,1.398979,10,3.9,1.286684,11,5.181818,1.250454,2.93,6.29,4.24
slaughter,,412,21,5.095238,1.135991,13,5.230769,1.165751,8,4.875,1.125992,1.64,6.77,3.82
sloppy,adj,169,23,4.869565,0.7570486,13,4.923077,0.6405126,10,4.8,0.9189366,,,
smart,adj,692,26,3.846154,1.286618,13,3.615385,1.609268,13,4.076923,0.8623165,,,
smug,,568,21,4.619048,1.499206,12,4,1.537412,9,5.444444,1.013794,,,
soft,adj,393,27,2.851852,1.703022,16,2.8125,1.721191,11,2.909091,1.758098,7.12,4.63,6
solitary,,85,33,5,1,14,5,1.037749,19,5,1,,,
soothe,v,80,35,2.971429,1.504615,16,3.25,1.290994,19,2.736842,1.661395,,,
sophisticated,,193,26,3.576923,1.447013,9,4.333333,0.7071068,17,3.176471,1.590412,,,
sorry,adj,305,25,3.52,1.475353,11,3.272727,1.420627,14,3.714286,1.540658,,,
sound,,411,21,3.666667,1.154701,13,3.692308,0.9473309,8,3.625,1.505941,,,
special,,447,20,3.05,1.145931,4,2.75,1.5,16,3.125,1.087811,,,
spirit,,483,21,4.095238,1.374946,13,4.461538,1.330124,8,3.5,1.309307,7,5.56,5.82
spoon,,405,21,3.809524,0.9807674,13,3.615385,1.043908,8,4.125,0.834523,,,
spunky,adj,139,28,3.285714,1.560084,16,3.5,1.788854,12,3,1.206045,,,
spurn,v,563,21,4,1.30384,12,3.583333,1.1645,9,4.555556,1.333333,,,
star,,202,27,3.518519,1.528458,12,3.833333,1.696699,15,3.266667,1.387015,7.27,5.83,4.68
statistic,,418,19,4.105263,1.32894,10,4.3,1.567021,9,3.888889,1.054093,,,
statue,n,498,33,4.69697,1.380327,22,4.409091,1.469016,11,5.272727,1.00905,5.17,3.46,4.95
statuette,n,249,34,3.205882,1.451841,17,3.176471,1.667157,17,3.235294,1.25147,,,
stomach,,200,26,4.423077,0.6433088,9,4.333333,0.5,17,4.470588,0.7174301,4.82,3.93,4.68
store,,533,26,3.923077,1.197433,16,4.0625,1.181454,10,3.7,1.251666,,,
stout,,612,24,4.916667,1.212854,10,4.9,1.449138,14,4.928571,1.071612,,,
strain,,482,25,4.4,1.190238,13,4.538462,1.391365,12,4.25,0.9653073,,,
strange,,150,30,4.2,0.8866831,14,4.428571,0.9376145,16,4,0.8164966,,,
stream,,148,30,3.866667,1.074255,14,4.142857,1.231456,16,3.625,0.8850612,,,
strength,,700,30,5.1,1.241523,19,5.263158,1.240166,11,4.818182,1.250454,,,
stress,n,469,30,4.266667,1.284747,14,4.857143,1.027105,16,3.75,1.290994,2.09,7.45,3.93
strict,adj,542,26,4.884615,1.505375,16,4.6875,1.662077,10,5.2,1.229273,,,
strong,adj,372,21,5.095238,1.261141,16,5.25,1.290994,5,4.6,1.140175,7.11,5.92,6.92
stupid,,539,26,4.769231,1.069867,16,4.75,0.8563488,10,4.8,1.398412,2.31,4.72,2.98
style,n,444,20,2.65,1.225819,4,2.25,0.9574271,16,2.75,1.290994,,,
stymie,,642,17,3.941176,0.8993462,7,4,1,10,3.9,0.875595,,,
sublime,,201,26,3.923077,1.092633,9,4.111111,0.3333333,17,3.823529,1.333946,,,
subscriber,,620,26,4.076923,1.092633,13,4.153846,1.143544,13,4,1.080123,,,
success,,506,31,4.354839,1.379575,14,4.285714,1.589803,17,4.411765,1.227743,,,
suffer,v,378,24,3.75,0.9890707,10,3.5,1.269296,14,3.928571,0.7300459,,,
suffering,n,634,17,4.117647,1.653872,7,4.142857,1.573592,10,4.1,1.791957,,,
suggest,,3,15,4.466667,0.9154754,9,4.555556,0.8819171,6,4.333333,1.032796,,,
suitable,,233,23,4,1.206045,12,4.083333,1.083625,11,3.909091,1.375103,,,
suite,,622,27,4.222222,1.250641,13,4.461538,1.391365,14,4,1.1094,,,
sulky,,574,21,4.52381,1.470342,9,4.444444,1.130388,12,4.583333,1.729862,,,
supporter ,n,220,25,3.76,1.535144,14,3.714286,1.138729,11,3.818182,1.990888,,,
